#group,false,false,false,false,false,false
#datatype,string,double,double,string,double,dateTime:RFC3339
#default,,,,,,
,device,gas,humidity,location,temperature,time
,esp32,1048,71.5,lab,24.9,2026-07-13T15:38:00.24081922Z
,esp32,1048,71.5,lab,24.9,2026-07-13T15:37:44.606248561Z
,esp32,1048,71.5,lab,24.9,2026-07-13T15:37:29.102209852Z
,esp32,1048,71.5,lab,24.9,2026-07-13T15:37:13.178379133Z
,esp32,1048,71.5,lab,46.2,2026-07-13T15:36:58.651485388Z
,esp32,1048,100,lab,46.2,2026-07-13T15:36:44.305016726Z
,esp32,1048,100,lab,46.2,2026-07-13T15:36:28.860608743Z
,esp32,1048,40,lab,46.2,2026-07-13T15:36:13.277992913Z
,esp32,3628,40,lab,24,2026-07-13T15:35:57.393055623Z
,esp32,3628,40,lab,24,2026-07-13T15:25:10.451252307Z
,esp32,3628,40,lab,24,2026-07-13T15:24:54.298985821Z
,esp32,1351,40,lab,24,2026-07-13T14:41:29.376980587Z
,esp32,1351,40,lab,24,2026-07-13T14:40:59.584258678Z
,esp32,1351,40,lab,24,2026-07-13T14:40:30.918727301Z
,esp32,1351,40,lab,24,2026-07-13T14:40:05.753425971Z
,esp32,1351,40,lab,24,2026-07-13T14:39:41.219469863Z
,esp32,3628,40,lab,24,2026-07-13T14:39:11.968813371Z
,esp32,3628,40,lab,24,2026-07-13T14:38:49.702535554Z
,esp32,1234,40,lab,24,2026-07-13T14:34:41.233521739Z
,esp32,3628,40,lab,24,2026-07-13T14:34:26.968985829Z
,esp32,2439,40,lab,24,2026-07-13T14:24:34.858910904Z
,esp32,2439,40,lab,24,2026-07-13T14:24:17.901198251Z
,esp32,2439,40,lab,24,2026-07-13T14:23:57.718194622Z
,esp32,2439,40,lab,24,2026-07-13T14:23:43.344705441Z
,esp32,2439,40,lab,24,2026-07-13T14:18:55.173599529Z
,esp32,2439,40,lab,24,2026-07-13T14:18:38.108098829Z
,esp32,2439,40,lab,24,2026-07-13T14:18:23.066166364Z
,esp32,2439,40,lab,24,2026-07-13T14:18:09.63209523Z
,esp32,2439,40,lab,24,2026-07-13T14:17:55.462551111Z
,esp32,2439,40,lab,24,2026-07-13T14:17:38.476155221Z
,esp32,2439,40,lab,24,2026-07-13T14:17:25.836140301Z
,esp32,2439,40,lab,24,2026-07-13T14:17:09.359725066Z
,esp32,2439,40,lab,24,2026-07-13T14:16:56.870515556Z
,esp32,2439,40,lab,24,2026-07-13T14:16:39.814042164Z
,esp32,2439,40,lab,24,2026-07-13T14:16:27.245595045Z
,esp32,2439,40,lab,24,2026-07-13T14:16:13.142315032Z
,esp32,2439,40,lab,24,2026-07-13T14:15:58.661835616Z
,esp32,2439,40,lab,24,2026-07-13T14:15:41.971319708Z
,esp32,2439,40,lab,24,2026-07-13T14:15:26.284083775Z
,esp32,2439,40,lab,24,2026-07-13T14:15:11.065057373Z
,esp32,2439,40,lab,24,2026-07-13T14:14:58.210380093Z
,esp32,2439,40,lab,24,2026-07-13T14:14:41.493502127Z
,esp32,2439,40,lab,24,2026-07-13T14:14:25.71342397Z
,esp32,2439,40,lab,24,2026-07-13T14:14:09.075148506Z
,esp32,2439,40,lab,24,2026-07-13T14:13:53.533491871Z
,esp32,2439,40,lab,24,2026-07-13T14:13:38.325085835Z
,esp32,1582,40,lab,24,2026-07-13T14:13:23.097684012Z
,esp32,868,40,lab,24,2026-07-13T14:13:05.877683478Z
,esp32,3628,40,lab,24,2026-07-13T14:12:53.108438255Z
,esp32,3628,40,lab,24,2026-07-13T14:10:38.315486985Z
,esp32,3628,40,lab,24,2026-07-13T14:10:22.871142714Z
,esp32,3628,40,lab,24,2026-07-13T14:10:10.094720086Z
,esp32,3628,40,lab,24,2026-07-13T14:09:53.242521232Z
,esp32,3628,40,lab,24,2026-07-13T14:09:37.808205959Z
,esp32,3628,40,lab,24,2026-07-13T14:09:24.835713564Z
,esp32,3628,40,lab,24,2026-07-13T14:08:50.893222753Z
,esp32,881,40,lab,24,2026-07-13T14:06:51.013162484Z
,esp32,881,40,lab,24,2026-07-13T14:06:37.818558125Z
,esp32,881,40,lab,24,2026-07-13T14:06:20.159827533Z
,esp32,881,40,lab,24,2026-07-13T14:05:22.294957419Z
,esp32,881,40,lab,24,2026-07-13T14:05:07.010432798Z
,esp32,881,40,lab,24,2026-07-13T14:04:54.144707935Z
,esp32,881,40,lab,24,2026-07-13T14:04:37.575081051Z
,esp32,881,40,lab,24,2026-07-13T14:01:10.807549714Z
,esp32,881,40,lab,24,2026-07-13T14:00:55.055323528Z
,esp32,1186,40,lab,24,2026-07-13T14:00:41.998782815Z
,esp32,1186,40,lab,24,2026-07-13T14:00:25.171452248Z
,esp32,1186,40,lab,24,2026-07-13T14:00:10.17698951Z
,esp32,1186,40,lab,24,2026-07-13T13:59:55.097630112Z
,esp32,1186,40,lab,24,2026-07-13T13:59:39.993473828Z
,esp32,1186,40,lab,24,2026-07-13T13:59:24.802079947Z
,esp32,1186,40,lab,24,2026-07-13T13:59:11.992503423Z
,esp32,2513,40,lab,24,2026-07-13T13:58:54.767784022Z
,esp32,2567,40,lab,24,2026-07-13T13:58:39.531730011Z
,esp32,3628,40,lab,24,2026-07-13T13:58:23.404735502Z
,esp32,3628,40,lab,24,2026-07-13T13:58:07.017172547Z
,esp32,3628,40,lab,24,2026-07-13T13:57:53.233679211Z
,esp32,3628,40,lab,24,2026-07-13T13:53:46.421922905Z
